                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7752,                 2.9362,                 1.4408,                0.53403,                0.59677,                0.59724,                0.38582,                 1.2333,                 1.5143,                 1.1491,             0.00046598,             0.00046598,             0.00046598
                      2,                 1.7473,                 1.7998,                 1.5031,                0.45274,                0.54706,                0.50752,                0.30725,                 1.4596,                 2.4308,                 1.3899,               0.000905,               0.000905,               0.000905
                      3,                 1.7712,                 1.6987,                 1.4794,                0.48856,                0.51565,                0.48912,                0.28484,                 1.5119,                 4.4138,                 1.3996,              0.0013063,              0.0013063,              0.0013063
                      4,                 1.8154,                 1.5191,                 1.5308,                0.81796,                0.54881,                0.62021,                0.38572,                 1.4609,                 1.9783,                 1.3254,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.7837,                 1.3643,                 1.4655,                0.74203,                0.56308,                 0.6855,                0.41185,                 1.4056,                 1.8936,                  1.267,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.7623,                 1.3513,                 1.4736,                0.82962,                0.68122,                 0.7829,                0.49092,                 1.3389,                 1.4316,                 1.2605,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.6456,                 1.2514,                 1.4247,                 0.8216,                0.60581,                0.71641,                 0.4389,                 1.4307,                 1.3867,                 1.3531,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.7018,                 1.2169,                 1.4414,                0.89055,                0.63055,                0.77411,                0.48716,                 1.3919,                 1.1507,                 1.3061,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.7336,                 1.2014,                 1.4533,                0.75586,                0.63064,                0.70797,                0.44429,                 1.4288,                 1.1504,                 1.3043,             0.00097629,             0.00097629,             0.00097629
                     10,                   1.67,                  1.151,                 1.4051,                0.80003,                0.69549,                0.76622,                 0.4902,                 1.3281,                 1.2231,                 1.2492,              0.0009197,              0.0009197,              0.0009197
                     11,                  1.606,                 1.0648,                 1.3756,                0.86873,                0.82843,                0.88516,                0.57428,                 1.3067,                0.87833,                  1.198,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.5864,                 1.0232,                 1.3573,                0.90836,                0.79531,                0.86893,                0.58516,                 1.2462,                0.90432,                 1.2103,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.5239,                0.97488,                 1.3288,                 0.9066,                0.75318,                0.87085,                0.58363,                 1.2802,                0.85237,                  1.223,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.5533,                0.97908,                 1.3335,                0.94624,                0.79148,                0.90566,                0.60274,                 1.2131,                0.84974,                  1.174,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.5175,                0.92869,                 1.3187,                0.90181,                0.84058,                0.90313,                0.62606,                 1.1697,                0.77854,                 1.1638,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.4963,                0.86453,                 1.3396,                0.90858,                0.86364,                0.89825,                0.60274,                 1.2039,                0.86614,                 1.1804,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.4276,                0.78729,                 1.3051,                0.92248,                0.87511,                0.90948,                0.61731,                 1.1706,                0.78625,                 1.1501,             0.00052359,             0.00052359,             0.00052359
                     18,                  1.441,                0.79337,                 1.3102,                0.91268,                0.88655,                0.90586,                0.63994,                 1.1188,                0.71411,                 1.1312,               0.000467,               0.000467,               0.000467
                     19,                 1.4235,                0.76232,                 1.3057,                0.91098,                0.88766,                 0.8986,                0.61248,                 1.1821,                0.74383,                 1.1333,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.3846,                0.72417,                 1.2704,                0.98113,                0.84459,                0.91741,                0.66653,                 1.0258,                0.65431,                 1.0905,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.3281,                0.67543,                 1.2355,                0.95166,                0.84266,                 0.9203,                0.65554,                 1.0819,                0.68064,                 1.0874,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.3005,                0.68436,                 1.2184,                0.92734,                0.88838,                0.92821,                0.68392,                0.99561,                 0.6113,                 1.0544,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.2493,                0.64292,                 1.1989,                0.95468,                0.90714,                0.93334,                0.67936,                 1.0364,                0.62075,                 1.0862,             0.00018406,             0.00018406,             0.00018406
                     24,                 1.2559,                0.63159,                 1.1987,                0.93372,                0.90082,                0.92718,                0.68462,                 1.0031,                0.60152,                 1.0814,             0.00012747,             0.00012747,             0.00012747
                     25,                  1.225,                 0.6234,                 1.1912,                0.95487,                0.88668,                0.92461,                0.68139,                 0.9924,                0.58289,                 1.0749,             7.0878e-05,             7.0878e-05,             7.0878e-05
