                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0473,                 4.1657,                 1.1086,                  0.375,                0.09106,                0.13467,                0.11527,                 1.1619,                 74.734,                 1.1887,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.0826,                 2.2516,                 1.0805,                0.68149,                0.39068,                0.49007,                0.31523,                 1.2147,                 2.0053,                 1.3416,             0.00042545,             0.00042545,             0.00042545
                      3,                 1.1091,                 1.6703,                 1.1654,                0.42637,                0.35232,                0.25836,                0.14597,                 1.6627,                 3.7812,                 1.7172,             0.00061844,             0.00061844,             0.00061844
                      4,                  1.046,                 1.3006,                  1.118,                0.11329,                0.30679,                0.05231,                0.02896,                 2.4158,                    inf,                 5.7262,             0.00079332,             0.00079332,             0.00079332
                      5,                 1.1072,                 1.2644,                 1.1342,                0.00301,                0.09604,                0.00142,                 0.0007,                 2.6105,                    inf,                 4.4304,             0.00095009,             0.00095009,             0.00095009
                      6,                 1.1807,                 1.3415,                 1.2239,                0.31381,                0.30072,                0.13803,                0.09579,                 1.8107,                 35.944,                 1.9159,              0.0010888,              0.0010888,              0.0010888
                      7,                 1.1733,                 1.4069,                 1.1994,                0.29258,                0.20327,                0.05533,                0.03036,                 2.4082,                 165.51,                 2.7789,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.1498,                 1.2754,                 1.1943,                0.40333,                0.44975,                 0.3318,                0.20335,                 1.4836,                 7.1521,                 1.5535,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.0012,                0.99239,                 1.1188,                0.56434,                0.60151,                0.56806,                0.38255,                 1.3263,                 3.2199,                 1.4288,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.0105,                0.97138,                 1.1204,                0.62398,                 0.6503,                0.63332,                0.41595,                 1.2136,                 2.6231,                 1.3622,              0.0009197,              0.0009197,              0.0009197
                     11,                 0.9795,                0.87682,                  1.084,                0.49912,                0.46355,                 0.4135,                  0.261,                  1.499,                 2.3341,                 1.4914,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.0516,                0.89684,                 1.1002,                0.78433,                0.63883,                0.73449,                0.48452,                 1.2006,                 1.5676,                 1.2811,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.0652,                0.95125,                 1.1319,                0.78714,                0.53281,                0.66047,                0.43369,                  1.277,                 1.3255,                 1.3199,             0.00074994,             0.00074994,             0.00074994
                     14,                0.95944,                0.81463,                 1.0807,                 0.8393,                 0.5582,                0.72951,                0.51384,                 1.1743,                 1.2209,                 1.2859,             0.00069335,             0.00069335,             0.00069335
                     15,                 0.9086,                0.76102,                 1.0563,                0.79268,                0.72184,                 0.7896,                0.55355,                  1.134,                0.94145,                 1.2247,             0.00063676,             0.00063676,             0.00063676
                     16,                0.84711,                0.72706,                 1.0309,                0.91418,                0.70075,                0.82877,                0.59852,                 1.0762,                0.91251,                 1.2054,             0.00058017,             0.00058017,             0.00058017
                     17,                0.82276,                 0.6726,                 1.0195,                0.90963,                0.81042,                0.87522,                0.63349,                 1.0606,                0.80258,                 1.1998,             0.00052359,             0.00052359,             0.00052359
                     18,                0.82879,                0.65892,                 1.0204,                0.91852,                0.77935,                0.86479,                0.63303,                 1.0298,                0.83834,                 1.1848,               0.000467,               0.000467,               0.000467
                     19,                0.78685,                0.65279,                0.99085,                0.91185,                 0.8026,                0.86427,                0.65528,                 0.9595,                0.75252,                 1.1391,             0.00041041,             0.00041041,             0.00041041
                     20,                0.74858,                0.54078,                0.97544,                0.90397,                0.79642,                 0.8604,                0.65038,                0.97065,                0.75401,                 1.1446,             0.00035382,             0.00035382,             0.00035382
                     21,                0.70628,                0.53709,                0.95385,                0.90519,                0.85128,                0.88684,                0.68174,                 0.9386,                0.65831,                 1.1196,             0.00029723,             0.00029723,             0.00029723
                     22,                 0.7319,                0.56425,                 0.9837,                0.92597,                0.84732,                0.89017,                0.69199,                 0.8959,                0.60972,                 1.1004,             0.00024064,             0.00024064,             0.00024064
                     23,                0.68367,                  0.495,                 0.9505,                0.94507,                0.81243,                0.89111,                0.68862,                0.89631,                0.62978,                 1.0894,             0.00018406,             0.00018406,             0.00018406
                     24,                0.67751,                0.47271,                0.95082,                0.94526,                0.81755,                0.89496,                0.68554,                0.88081,                0.62751,                 1.0785,             0.00012747,             0.00012747,             0.00012747
                     25,                0.65923,                0.46458,                0.91841,                0.90107,                0.86258,                0.90185,                0.69098,                0.88997,                0.61858,                 1.0748,             7.0878e-05,             7.0878e-05,             7.0878e-05
